,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Count,Avg. Duration,Cum. Duration,,Ground Truth,Gazepath,Dispersion,Velocity,Ground Truth,Gazepath,Dispersion,Velocity
28,211,141,82,429.4834,686.7801,1189.28,90621,96836,97521,172,557.4302,95878,,,,,,,,,
29,147,131,48,626.1905,723.626,2051.813,92050,94795,98487,175,535.2057,93661,,,,,,,,,
30,242,192,140,359.814,474.849,662.3071,87075,91171,92723,235,380.8128,89491,,,,,,,,,
1,87,62,37,329.8046,486.3065,830.4054,28693,30151,30725,73,408.5616,29825,,,,,,,,,
2,60,53,33,484.95,580.0755,940.1515,29097,30744,31025,61,495.7049,30238,,,,,,,,,
3,86,64,28,346.7907,492.9844,1146.357,29824,31551,32098,78,397.7051,31021,,,,,,,,,
4,84,70,54,337.5119,436.7571,567.5185,28351,30573,30646,80,378.675,30294,,,,,,,,,
5,57,48,32,532.7368,658.875,997.0313,30366,31626,31905,61,509.4426,31076,,,,,,,,,
6,25,25,14,1232.36,1273.44,2278.286,30809,31836,31896,34,930.3529,31632,,,,,,,,,
7,70,52,34,402.2286,567.9615,883.1765,28156,29534,30028,61,475.8197,29025,,,,,,,,,
8,61,57,38,469.6721,536.2982,811.7632,28650,30569,30847,62,490.9516,30439,,,,,,,,,
9,75,51,33,381.9467,593.5098,924.2121,28646,30269,30499,66,454,29964,,,,,,,,,
10,98,85,65,293.2653,372.8235,489.2308,28740,31690,31800,90,346.2222,31160,,,,,,,,,
11,57,40,18,531.4561,800.4,1781.944,30293,32016,32075,49,645.8367,31646,,,,,,,,,
12,60,49,20,487.6,623.449,1570.45,29256,30549,31409,62,489.5806,30354,,,,,,,,,
13,95,77,56,306.4,404.2208,559.1607,29108,31125,31313,86,359.0581,30879,,,,,,,,,
14,77,64,47,385.4935,487.3281,667.6809,29683,31189,31381,74,419.7297,31060,,,,,,,,,
15,67,60,53,419.5672,505.3167,576.8868,28111,30319,30575,64,469.9531,30077,,,,,,,,,
16,86,62,44,341.5698,514,726.4545,29375,31868,31964,73,435.2329,31772,,,,,,,,,
17,52,40,29,483.0385,640.4,906.069,25118,25616,26276,54,475.0926,25655,,,,,,,,,
18,85,61,44,344.3294,507.4754,707.6818,29268,30956,31138,75,407.1867,30539,,,,,,,,,
